#TAG,NAME IN REPO (or git url),BRANCH (used for git installations),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,,"is the graphical server."
,xorg-xwininfo,,"allows querying information about windows."
,xorg-xinit,,"starts the graphical server."
,ttf-linux-libertine,,"provides the sans and serif fonts for LARBS."
A,lf-git,,"is an extensive terminal file manager that everyone likes."
,bc,,"is used for a dropdown calculator."
A,picom-ibhagwan-git,,"is for transparency and removing screen-tearing."
,xorg-xprop,,"is a tool for detecting window properties."
,dosfstools,,"allows your computer to access dos-like filesystems."
,libnotify,,"allows desktop notifications."
,dunst,,"is a suckless notification system."
,exfat-utils,,"allows management of FAT drives."
,sxiv,,"is a minimalist image viewer."
,xwallpaper,,"sets the wallpaper."
,ffmpeg,,"can record and splice video and audio on the command line."
,gnome-keyring,,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,,"gives the dark GTK theme used in LARBS."
,neovim,,"a tidier vim with some useful features"
,mpd,,"is a lightweight music daemon."
,mpc,,"is a terminal interface for mpd."
,mpv,,"is the patrician's choice video player."
,man-db,,"lets you read man pages of programs."
,ncmpcpp,,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,,"is a terminal RSS client."
A,brave-bin,,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,,"is an emoji font."
A,nerd-fonts-source-code-pro,,"is the SauceCodePro Nerd Font font."
,ntfs-3g,,"allows accessing NTFS partitions."
,pulseaudio-alsa,,"is the audio system."
,pulsemixer,,"is an audio controller."
,pamixer,,"is a command-line audio interface."
A,sc-im,,"is an Excel-like terminal spreadsheet manager."
,maim,,"can take quick screenshots at your request."
,abook,,"is an offline addressbook usable by neomutt."
,unclutter,,"hides an inactive mouse."
,unrar,,"extracts rar's."
,unzip,,"unzips zips."
,lynx,,"is a terminal browser."
,xcape,,"gives the special escape/super mappings of LARBS."
,xclip,,"allows for copying and pasting from the command line."
,xdotool,,"provides window action utilities on the command line."
,xorg-xdpyinfo,,"aids with resolution determination and screen recording."
,youtube-dl,,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,,"allows mupdf pdf compatibility in zathura."
,poppler,,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,,"shows audio and video information."
,atool,,"manages and gives information about archives."
,fzf,,"is a fuzzy finder tool."
,highlight,,"can highlight code output."
,xorg-xbacklight,,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting,,"provides syntax highlighting in the shell."
A,task-spooler,,"queues commands or files for download."
A,simple-mtpfs,,"enables the mounting of cell phones."
G,https://github.com/nikolichnik/dwm.git,lab,"is the window manager."
G,https://github.com/nikolichnik/dwmblocks.git,master,"serves as the modular status bar."
G,https://github.com/nikolichnik/dmenu.git,lab,"runs commands and provides a UI for selection."
G,https://github.com/nikolichnik/st.git,lab,"is my custom build of suckless's terminal emulator."
,slock,,"allows you to lock your computer, and quickly unlock with your password."
A,mutt-wizard-git,,"is a light-weight terminal-based email system."
,socat,,"is a socket utility."
V,dbus,,"facilitates inter-process communication."
V,setxkbmap,,"allows LARBS's unique keyboard bindings."
V,xmodmap,,"allows LARBS's unique keyboard bindings."
V,xsetroot,,"sets status bar and other X properies."
V,xset,,"allows speeding up the X rate."
,ctags,,"generates an index (or tag) file of language objects found in source files for many popular programming languages."
,the_silver_searcher,,"AKA ag - faster grep alternative."
,htop,,"is a system resource monitor."
A,vscodium-bin,,"is a release of VS Code without MS branding/telemetry/licensing."
,docker,,"is a set of platform as a service products that use OS-level virtualization to deliver software in packages called containers."
,kicad,,"is an electronic circuit and PCB designer."
,arduino,,"installs Arduino drivers and an IDE."
,gimp,,"is a GNU Image Manipulation Program."
,viber,,"is an instant messaging program."
A,teams,,"is an inferior Slack."
A,downgrade,,"is a package downgrade script."
